County,Year,Permits,Pop_Rank,Pop_Percent,
Brevard,2017,2753,10,2.8,
Brevard,1990,4759,,,
Brevard,2000,4284,,,
Brevard,2010,1144,,,
Brevard,2011,882,,,
Brevard,2012,1128,,,
Brevard,2013,1373,,,
Brevard,2014,1286,,,
Brevard,2015,1918,,,
Brevard,2016,2915,,,
Broward,2017,5034,2,9.1,
Broward,1990,10749,,,
Broward,2000,11970,,,
Broward,2010,1168,,,
Broward,2011,2444,,,
Broward,2012,3556,,,
Broward,2013,4470,,,
Broward,2014,2462,,,
Broward,2015,5452,,,
Broward,2016,4105,,,
Duval,2017,6105,7,4.6,
Duval,1990,5573,,,
Duval,2000,5801,,,
Duval,2010,1501,,,
Duval,2011,1589,,,
Duval,2012,3939,,,
Duval,2013,2996,,,
Duval,2014,3446,,,
Duval,2015,4514,,,
Duval,2016,5751,,,
Hillsborough,2017,11567,4,6.7,
Hillsborough,1990,5529,,,
Hillsborough,2000,11656,,,
Hillsborough,2010,3950,,,
Hillsborough,2011,4181,,,
Hillsborough,2012,7095,,,
Hillsborough,2013,6872,,,
Hillsborough,2014,7490,,,
Hillsborough,2015,9486,,,
Hillsborough,2016,10662,,,
Lee,2017,6954,8,3.4,
Lee,1990,4915,,,
Lee,2000,9120,,,
Lee,2010,1278,,,
Lee,2011,1587,,,
Lee,2012,2043,,,
Lee,2013,3176,,,
Lee,2014,4095,,,
Lee,2015,6879,,,
Lee,2016,5417,,,
Miami-Dade,2017,10554,1,13.4,13.4
Miami-Dade,1990,10855,,,
Miami-Dade,2000,12475,,,
Miami-Dade,2010,3203,,,
Miami-Dade,2011,2618,,,
Miami-Dade,2012,5069,,,
Miami-Dade,2013,10316,,,
Miami-Dade,2014,7731,,,
Miami-Dade,2015,12617,,,
Miami-Dade,2016,9317,,,
Orange,2017,8637,5,6.4,
Orange,1990,9647,,,
Orange,2000,10239,,,
Orange,2010,2880,,,
Orange,2011,4083,,,
Orange,2012,7232,,,
Orange,2013,9033,,,
Orange,2014,9246,,,
Orange,2015,9606,,,
Orange,2016,11952,,,
Palm Beach,2017,4135,3,6.9,
Palm Beach,1990,9861,,,
Palm Beach,2000,10504,,,
Palm Beach,2010,1506,,,
Palm Beach,2011,2470,,,
Palm Beach,2012,4636,,,
Palm Beach,2013,5135,,,
Palm Beach,2014,5066,,,
Palm Beach,2015,5381,,,
Palm Beach,2016,5320,,,
Pinellas,2017,1900,6,4.7,
Pinellas,1990,4290,,,
Pinellas,2000,2776,,,
Pinellas,2010,697,,,
Pinellas,2011,355,,,
Pinellas,2012,1561,,,
Pinellas,2013,3055,,,
Pinellas,2014,1733,,,
Pinellas,2015,3097,,,
Pinellas,2016,2398,,,
Polk,2017,4604,9,3.2,
Polk,1990,2786,,,
Polk,2000,4746,,,
Polk,2010,1200,,,
Polk,2011,1156,,,
Polk,2012,1522,,,
Polk,2013,2034,,,
Polk,2014,2559,,,
Polk,2015,3039,,,
Polk,2016,4567,,,
State wide,1990,126384,,,
State wide,2000,155269,,,
State wide,2010,38679,,,
State wide,2011,42360,,,
State wide,2012,64810,,,
State wide,2013,86752,,,
State wide,2014,84075,,,
State wide,2015,109924,,,
State wide,2016,116240,,,
State wide,2017,122719,,,
